UniProtID	GO_ID	GO_Name	GO_Aspect
A0A2K3DHN4	GO:0032956	regulation of actin cytoskeleton organization	biological_process
A0A2K3DHN4	GO:0005856	cytoskeleton	cellular_component
A0A2K3DHN4	GO:0005886	plasma membrane	cellular_component
A0A2K3DHN4	GO:0031410	cytoplasmic vesicle	cellular_component
A0A2K3DHN4	GO:0042995	cell projection	cellular_component
A0A2K3DHN4	GO:0005739	mitochondrion	cellular_component
A0A2K3DHN4	GO:0005741	mitochondrial outer membrane	cellular_component
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DHN4	GO:0003924	GTPase activity	molecular_function
A0A2K3DHN4	GO:0005509	calcium ion binding	molecular_function
A0A2K3DHN4	GO:0005525	GTP binding	molecular_function
A0A2K3DHN4	GO:0005525	GTP binding	molecular_function
A0A2K3DHN4	GO:0019901	protein kinase binding	molecular_function
A0A2K3DHN4	GO:0046872	metal ion binding	molecular_function
A0A2K3DHN4	GO:0007015	actin filament organization	biological_process
A0A2K3DHN4	GO:0007163	establishment or maintenance of cell polarity	biological_process
A0A2K3DHN4	GO:0007165	signal transduction	biological_process
A0A2K3DHN4	GO:0008360	regulation of cell shape	biological_process
A0A2K3DHN4	GO:0030865	cortical cytoskeleton organization	biological_process
A0A2K3DHN4	GO:0032956	regulation of actin cytoskeleton organization	biological_process
A0A2K3DHN4	GO:0005856	cytoskeleton	cellular_component
A0A2K3DHN4	GO:0005886	plasma membrane	cellular_component
A0A2K3DHN4	GO:0031410	cytoplasmic vesicle	cellular_component
A0A2K3DHN4	GO:0042995	cell projection	cellular_component
A0A2K3DHN4	GO:0005739	mitochondrion	cellular_component
A0A2K3DHN4	GO:0005741	mitochondrial outer membrane	cellular_component
A0A2K3DH15	GO:0008270	zinc ion binding	molecular_function
A0A2K3DI79	GO:0000209	protein polyubiquitination	biological_process
A0A2K3DI79	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	biological_process
A0A2K3DIB4	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DG76	GO:0003682	chromatin binding	molecular_function
A0A2K3DG76	GO:0008270	zinc ion binding	molecular_function
A0A2K3DG76	GO:0043565	sequence-specific DNA binding	molecular_function
A0A2K3DG76	GO:0006355	regulation of DNA-templated transcription	biological_process
A0A2K3DG76	GO:0005634	nucleus	cellular_component
A0A2K3DH82	GO:0010506	regulation of autophagy	biological_process
A0A2K3DH82	GO:0010506	regulation of autophagy	biological_process
A0A2K3DH82	GO:0031902	late endosome membrane	cellular_component
A0A2K3DH82	GO:0035658	Mon1-Ccz1 complex	cellular_component
A0A2K3DH82	GO:0035658	Mon1-Ccz1 complex	cellular_component
A0A2K3DH62	GO:0010506	regulation of autophagy	biological_process
A0A2K3DH62	GO:0035658	Mon1-Ccz1 complex	cellular_component
A0A2K3DG99	GO:0016020	membrane	cellular_component
A0A2K3DGJ9	GO:0003676	nucleic acid binding	molecular_function
A2PZC5	GO:0015297	antiporter activity	molecular_function
A2PZC5	GO:0055085	transmembrane transport	biological_process
A2PZC5	GO:0005794	Golgi apparatus	cellular_component
A2PZC5	GO:0016020	membrane	cellular_component
A0A2K3DH73	GO:0015297	antiporter activity	molecular_function
A0A2K3DH73	GO:0042910	xenobiotic transmembrane transporter activity	molecular_function
A0A2K3DH73	GO:0042908	xenobiotic transport	biological_process
A0A2K3DH73	GO:0055085	transmembrane transport	biological_process
A0A2K3DH73	GO:0016020	membrane	cellular_component
A0A2K3DHR4	GO:0008146	sulfotransferase activity	molecular_function
A0A2K3DHR4	GO:0016740	transferase activity	molecular_function
A0A2K3DIA3	GO:0003723	RNA binding	molecular_function
A0A2K3DIA3	GO:0003924	GTPase activity	molecular_function
A0A2K3DIA3	GO:0042273	ribosomal large subunit biogenesis	biological_process
A0A2K3DIA3	GO:0005730	nucleolus	cellular_component
A8IZA6	GO:0006401	RNA catabolic process	biological_process
A8IZA6	GO:0032299	ribonuclease H2 complex	cellular_component
A0A2K3DGG6	GO:0000278	mitotic cell cycle	biological_process
A0A2K3DGG6	GO:0007059	chromosome segregation	biological_process
A0A2K3DGG6	GO:0007059	chromosome segregation	biological_process
A0A2K3DGG6	GO:0051301	cell division	biological_process
A0A2K3DGG6	GO:0000776	kinetochore	cellular_component
A0A2K3DGG6	GO:0005876	spindle microtubule	cellular_component
A0A2K3DGG6	GO:0000775	chromosome, centromeric region	cellular_component
A0A2K3DGG6	GO:0000776	kinetochore	cellular_component
A0A2K3DGG6	GO:0005694	chromosome	cellular_component
A0A2K3DGG6	GO:0005737	cytoplasm	cellular_component
A0A2K3DGG6	GO:0005819	spindle	cellular_component
A0A2K3DGG6	GO:0005856	cytoskeleton	cellular_component
A0A2K3DGG6	GO:0005874	microtubule	cellular_component
A0A2K3DGG6	GO:0000940	outer kinetochore	cellular_component
A0A2K3DH58	GO:0005634	nucleus	cellular_component
A0A2K3DH58	GO:0016020	membrane	cellular_component
A0A2K3DHA3	GO:0016020	membrane	cellular_component
A0A2K3DI78	GO:0061631	ubiquitin conjugating enzyme activity	molecular_function
A0A2K3DGX4	GO:0010436	carotenoid dioxygenase activity	molecular_function
A0A2K3DGX4	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	molecular_function
A0A2K3DGX4	GO:0046872	metal ion binding	molecular_function
A0A2K3DGX4	GO:0016121	carotene catabolic process	biological_process
A0A2K3DGX4	GO:0009507	chloroplast	cellular_component
A0A2K3DGX4	GO:0010436	carotenoid dioxygenase activity	molecular_function
A0A2K3DGX4	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	molecular_function
A0A2K3DGX4	GO:0046872	metal ion binding	molecular_function
A0A2K3DGX4	GO:0016121	carotene catabolic process	biological_process
A0A2K3DGX4	GO:0009507	chloroplast	cellular_component
A0A2K3DI70	GO:0016020	membrane	cellular_component
A0A2K3DH53	GO:0004656	procollagen-proline 4-dioxygenase activity	molecular_function
A0A2K3DH53	GO:0005506	iron ion binding	molecular_function
A0A2K3DH53	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function
A0A2K3DH53	GO:0031418	L-ascorbic acid binding	molecular_function
A0A2K3DH53	GO:0046872	metal ion binding	molecular_function
A0A2K3DH53	GO:0051213	dioxygenase activity	molecular_function
A0A2K3DH53	GO:0005783	endoplasmic reticulum	cellular_component
A0A2K3DH53	GO:0005789	endoplasmic reticulum membrane	cellular_component
A0A2K3DI02	GO:0004672	protein kinase activity	molecular_function
A0A2K3DI02	GO:0005524	ATP binding	molecular_function
A0A2K3DI02	GO:0004672	protein kinase activity	molecular_function
A0A2K3DI02	GO:0005524	ATP binding	molecular_function
A8JGG7	GO:0015204	urea transmembrane transporter activity	molecular_function
A8JGG7	GO:0015204	urea transmembrane transporter activity	molecular_function
A8JGG7	GO:0071918	urea transmembrane transport	biological_process
A8JGG7	GO:0071918	urea transmembrane transport	biological_process
A8JGG7	GO:0005886	plasma membrane	cellular_component
A8JGG7	GO:0016020	membrane	cellular_component
A0A2K3DGM6	GO:0005509	calcium ion binding	molecular_function
A0A2K3DGM6	GO:0015979	photosynthesis	biological_process
A0A2K3DGM6	GO:0019898	extrinsic component of membrane	cellular_component
A0A2K3DGM6	GO:0009523	photosystem II	cellular_component
A0A2K3DGM6	GO:0009654	photosystem II oxygen evolving complex	cellular_component
A0A2K3DG80	GO:0016020	membrane	cellular_component
A0A2K3DGT4	GO:0030036	actin cytoskeleton organization	biological_process
A0A2K3DGP7	GO:0015297	antiporter activity	molecular_function
A0A2K3DGP7	GO:0055085	transmembrane transport	biological_process
A0A2K3DGP7	GO:0005794	Golgi apparatus	cellular_component
A0A2K3DGP7	GO:0016020	membrane	cellular_component
A0A2K3DH34	GO:0016020	membrane	cellular_component
A0A2K3DIE2	GO:0004672	protein kinase activity	molecular_function
A0A2K3DIE2	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DIE2	GO:0005524	ATP binding	molecular_function
A0A2K3DIE2	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	molecular_function
A0A2K3DIE2	GO:0032968	positive regulation of transcription elongation by RNA polymerase II	biological_process
A0A2K3DIE2	GO:0005634	nucleus	cellular_component
A0A2K3DIE2	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	cellular_component
A0A2K3DIE2	GO:0004672	protein kinase activity	molecular_function
A0A2K3DIE2	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DIE2	GO:0005524	ATP binding	molecular_function
A0A2K3DIE2	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	molecular_function
A0A2K3DIE2	GO:0032968	positive regulation of transcription elongation by RNA polymerase II	biological_process
A0A2K3DIE2	GO:0005634	nucleus	cellular_component
A0A2K3DIE2	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	cellular_component
A0A2K3DHN8	GO:0030544	Hsp70 protein binding	molecular_function
A0A2K3DHN8	GO:0051879	Hsp90 protein binding	molecular_function
A0A2K3DHN8	GO:0051879	Hsp90 protein binding	molecular_function
A0A2K3DHN8	GO:0006457	protein folding	biological_process
A0A2K3DHN8	GO:0005634	nucleus	cellular_component
A0A2K3DI50	GO:0005634	nucleus	cellular_component
A0A2K3DH22	GO:0006486	protein glycosylation	biological_process
A0A2K3DH22	GO:0006487	protein N-linked glycosylation	biological_process
A0A2K3DH22	GO:0005783	endoplasmic reticulum	cellular_component
A0A2K3DH22	GO:0005789	endoplasmic reticulum membrane	cellular_component
A0A2K3DH22	GO:0016020	membrane	cellular_component
A0A2K3DH22	GO:0008250	oligosaccharyltransferase complex	cellular_component
A0A2K3DH22	GO:0006486	protein glycosylation	biological_process
A0A2K3DH22	GO:0006487	protein N-linked glycosylation	biological_process
A0A2K3DH22	GO:0005783	endoplasmic reticulum	cellular_component
A0A2K3DH22	GO:0005789	endoplasmic reticulum membrane	cellular_component
A0A2K3DH22	GO:0016020	membrane	cellular_component
A0A2K3DH22	GO:0008250	oligosaccharyltransferase complex	cellular_component
A0A2K3DHK9	GO:0016020	membrane	cellular_component
A0A2K3DHK9	GO:0016020	membrane	cellular_component
A0A2K3DGH3	GO:0015204	urea transmembrane transporter activity	molecular_function
A0A2K3DGH3	GO:0015204	urea transmembrane transporter activity	molecular_function
A0A2K3DGH3	GO:0071918	urea transmembrane transport	biological_process
A0A2K3DGH3	GO:0071918	urea transmembrane transport	biological_process
A0A2K3DGH3	GO:0005886	plasma membrane	cellular_component
A0A2K3DGH3	GO:0016020	membrane	cellular_component
A0A2K3DHJ2	GO:0003844	1,4-alpha-glucan branching enzyme activity	molecular_function
A0A2K3DHJ2	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function
A0A2K3DHJ2	GO:0016740	transferase activity	molecular_function
A0A2K3DHJ2	GO:0043169	cation binding	molecular_function
A0A2K3DHJ2	GO:0005978	glycogen biosynthetic process	biological_process
A0A2K3DHJ2	GO:0044042	glucan metabolic process	biological_process
A0A2K3DHJ2	GO:0009501	amyloplast	cellular_component
A8J3Y6	GO:0004642	phosphoribosylformylglycinamidine synthase activity	molecular_function
A8J3Y6	GO:0004642	phosphoribosylformylglycinamidine synthase activity	molecular_function
A8J3Y6	GO:0005524	ATP binding	molecular_function
A8J3Y6	GO:0016874	ligase activity	molecular_function
A8J3Y6	GO:0046872	metal ion binding	molecular_function
A8J3Y6	GO:0006164	purine nucleotide biosynthetic process	biological_process
A8J3Y6	GO:0006164	purine nucleotide biosynthetic process	biological_process
A8J3Y6	GO:0006189	'de novo' IMP biosynthetic process	biological_process
A8J3Y6	GO:0006541	glutamine metabolic process	biological_process
A8J3Y6	GO:0005737	cytoplasm	cellular_component
A0A2K3DGQ9	GO:0046921	alpha-(1->6)-fucosyltransferase activity	molecular_function
A0A2K3DGQ9	GO:0006487	protein N-linked glycosylation	biological_process
A0A2K3DGQ9	GO:0036071	N-glycan fucosylation	biological_process
A0A2K3DGR2	GO:0000049	tRNA binding	molecular_function
A0A2K3DGR2	GO:0005524	ATP binding	molecular_function
A0A2K3DGR2	GO:0016874	ligase activity	molecular_function
A0A2K3DGR2	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	molecular_function
A0A2K3DGR2	GO:0006412	translation	biological_process
A0A2K3DGR2	GO:0006450	regulation of translational fidelity	biological_process
A0A2K3DGR2	GO:0032543	mitochondrial translation	biological_process
A0A2K3DGR2	GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	biological_process
A0A2K3DGR2	GO:0005739	mitochondrion	cellular_component
A0A2K3DGR2	GO:0009507	chloroplast	cellular_component
A0A2K3DGR2	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	cellular_component
A0A2K3DHZ3	GO:0004656	procollagen-proline 4-dioxygenase activity	molecular_function
A0A2K3DHZ3	GO:0005506	iron ion binding	molecular_function
A0A2K3DHZ3	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function
A0A2K3DHZ3	GO:0031418	L-ascorbic acid binding	molecular_function
A0A2K3DHZ3	GO:0046872	metal ion binding	molecular_function
A0A2K3DHZ3	GO:0051213	dioxygenase activity	molecular_function
A0A2K3DHZ3	GO:0005783	endoplasmic reticulum	cellular_component
A0A2K3DHZ3	GO:0005789	endoplasmic reticulum membrane	cellular_component
A0A2K3DIC7	GO:0005524	ATP binding	molecular_function
A0A2K3DIC7	GO:0016301	kinase activity	molecular_function
A0A2K3DIC7	GO:0046316	gluconokinase activity	molecular_function
A0A2K3DIC7	GO:0046316	gluconokinase activity	molecular_function
A0A2K3DIC7	GO:0005975	carbohydrate metabolic process	biological_process
A0A2K3DIC7	GO:0046177	obsolete D-gluconate catabolic process	biological_process
A0A2K3DIC7	GO:0046177	obsolete D-gluconate catabolic process	biological_process
A0A2K3DGD8	GO:0005524	ATP binding	molecular_function
A0A2K3DGD8	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DGD8	GO:0008716	D-alanine-D-alanine ligase activity	molecular_function
A0A2K3DGD8	GO:0008716	D-alanine-D-alanine ligase activity	molecular_function
A0A2K3DGD8	GO:0016874	ligase activity	molecular_function
A0A2K3DGD8	GO:0046872	metal ion binding	molecular_function
A0A2K3DGD8	GO:0032259	methylation	biological_process
A0A2K3DHT0	GO:0003824	catalytic activity	molecular_function
A0A2K3DGI4	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DGI4	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DGI4	GO:0098655	monoatomic cation transmembrane transport	biological_process
A0A2K3DGI4	GO:0005886	plasma membrane	cellular_component
A0A2K3DGI4	GO:0016020	membrane	cellular_component
A8JIE5	GO:0003735	structural constituent of ribosome	molecular_function
A8JIE5	GO:0003735	structural constituent of ribosome	molecular_function
A8JIE5	GO:0008270	zinc ion binding	molecular_function
A8JIE5	GO:0008270	zinc ion binding	molecular_function
A8JIE5	GO:0002181	cytoplasmic translation	biological_process
A8JIE5	GO:0006412	translation	biological_process
A8JIE5	GO:0005840	ribosome	cellular_component
A8JIE5	GO:0022627	cytosolic small ribosomal subunit	cellular_component
A8JIE5	GO:1990904	ribonucleoprotein complex	cellular_component
A8JIE5	GO:0003735	structural constituent of ribosome	molecular_function
A8JIE5	GO:0003735	structural constituent of ribosome	molecular_function
A8JIE5	GO:0008270	zinc ion binding	molecular_function
A8JIE5	GO:0008270	zinc ion binding	molecular_function
A8JIE5	GO:0002181	cytoplasmic translation	biological_process
A8JIE5	GO:0006412	translation	biological_process
A8JIE5	GO:0005840	ribosome	cellular_component
A8JIE5	GO:0022627	cytosolic small ribosomal subunit	cellular_component
A8JIE5	GO:1990904	ribonucleoprotein complex	cellular_component
A0A2K3DIE1	GO:0106035	obsolete protein maturation by [4Fe-4S] cluster transfer	biological_process
A0A2K3DIE1	GO:0005759	mitochondrial matrix	cellular_component
A0A2K3DHW1	GO:0008270	zinc ion binding	molecular_function
A0A2K3DHW1	GO:0043565	sequence-specific DNA binding	molecular_function
A0A2K3DHW1	GO:0006355	regulation of DNA-templated transcription	biological_process
A0A2K3DHQ0	GO:0006402	mRNA catabolic process	biological_process
A0A2K3DHQ0	GO:0017148	negative regulation of translation	biological_process
A0A2K3DHQ0	GO:0030014	CCR4-NOT complex	cellular_component
A0A2K3DHQ0	GO:0030014	CCR4-NOT complex	cellular_component
A0A2K3DHU7	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DHU7	GO:0008276	protein methyltransferase activity	molecular_function
A0A2K3DHU7	GO:0006417	regulation of translation	biological_process
A0A2K3DHU7	GO:0032259	methylation	biological_process
A0A2K3DHU7	GO:0005634	nucleus	cellular_component
A0A2K3DHU7	GO:0005737	cytoplasm	cellular_component
A0A2K3DHV1	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DHV1	GO:0032259	methylation	biological_process
A0A2K3DHV1	GO:0005634	nucleus	cellular_component
A0A2K3DHV1	GO:0005737	cytoplasm	cellular_component
A0A2K3DH51	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DH51	GO:0016279	protein-lysine N-methyltransferase activity	molecular_function
A0A2K3DH51	GO:0032259	methylation	biological_process
A8IZ79	GO:0009507	chloroplast	cellular_component
A8IZ79	GO:0009528	plastid inner membrane	cellular_component
A8IZ79	GO:0009706	chloroplast inner membrane	cellular_component
A8J463	GO:0003856	3-dehydroquinate synthase activity	molecular_function
A8J463	GO:0003856	3-dehydroquinate synthase activity	molecular_function
A8J463	GO:0016829	lyase activity	molecular_function
A8J463	GO:0050437	(-)-endo-fenchol synthase activity	molecular_function
A8J463	GO:0008652	amino acid biosynthetic process	biological_process
A8J463	GO:0009073	aromatic amino acid family biosynthetic process	biological_process
A8J463	GO:0009073	aromatic amino acid family biosynthetic process	biological_process
A8J463	GO:0005737	cytoplasm	cellular_component
A0A2K3DI34	GO:0003723	RNA binding	molecular_function
A0A2K3DI34	GO:0000963	mitochondrial RNA processing	biological_process
A0A2K3DI34	GO:0044528	regulation of mitochondrial mRNA stability	biological_process
A0A2K3DI34	GO:1901259	chloroplast rRNA processing	biological_process
A0A2K3DI34	GO:0005759	mitochondrial matrix	cellular_component
A0A2K3DI34	GO:0035770	ribonucleoprotein granule	cellular_component
A0A2K3DI34	GO:0009507	chloroplast	cellular_component
A0A2K3DG81	GO:0003676	nucleic acid binding	molecular_function
A0A2K3DG81	GO:0003724	RNA helicase activity	molecular_function
A0A2K3DG81	GO:0004386	helicase activity	molecular_function
A0A2K3DG81	GO:0005524	ATP binding	molecular_function
A0A2K3DG81	GO:0016787	hydrolase activity	molecular_function
A0A2K3DG81	GO:0000398	mRNA splicing, via spliceosome	biological_process
A0A2K3DG81	GO:0008380	RNA splicing	biological_process
A0A2K3DGE4	GO:0000049	tRNA binding	molecular_function
A0A2K3DGE4	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DGE4	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DGE4	GO:0016423	tRNA (guanine) methyltransferase activity	molecular_function
A0A2K3DGE4	GO:0160102	tRNA (guanine(10)-N2)-methyltransferase activity	molecular_function
A0A2K3DGE4	GO:0006396	RNA processing	biological_process
A0A2K3DGE4	GO:0008033	tRNA processing	biological_process
A0A2K3DGE4	GO:0032259	methylation	biological_process
A0A2K3DGE4	GO:0005737	cytoplasm	cellular_component
A0A2K3DI92	GO:0016020	membrane	cellular_component
A0A2K3DHY6	GO:0004866	endopeptidase inhibitor activity	molecular_function
A0A2K3DHY6	GO:0008237	metallopeptidase activity	molecular_function
A0A2K3DHY6	GO:0046872	metal ion binding	molecular_function
A0A2K3DHY6	GO:0005576	extracellular region	cellular_component
A0A2K3DH08	GO:0000166	nucleotide binding	molecular_function
A0A2K3DH08	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	molecular_function
A0A2K3DH08	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	molecular_function
A0A2K3DH08	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DH08	GO:0050660	flavin adenine dinucleotide binding	molecular_function
A0A2K3DH08	GO:0045454	cell redox homeostasis	biological_process
A0A2K3DH08	GO:0045454	cell redox homeostasis	biological_process
A0A2K3DH08	GO:0098869	cellular oxidant detoxification	biological_process
A0A2K3DH08	GO:0005737	cytoplasm	cellular_component
A0A2K3DI83	GO:0015245	fatty acid transmembrane transporter activity	molecular_function
A0A2K3DI83	GO:0015908	fatty acid transport	biological_process
A0A2K3DI83	GO:0009706	chloroplast inner membrane	cellular_component
A0A2K3DI83	GO:0016020	membrane	cellular_component
A0A2K3DH79	GO:0006886	intracellular protein transport	biological_process
A0A2K3DH79	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	biological_process
A0A2K3DH79	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	biological_process
A0A2K3DH79	GO:0006891	intra-Golgi vesicle-mediated transport	biological_process
A0A2K3DH79	GO:0015031	protein transport	biological_process
A0A2K3DH79	GO:0016192	vesicle-mediated transport	biological_process
A0A2K3DH79	GO:0000139	Golgi membrane	cellular_component
A0A2K3DH79	GO:0005737	cytoplasm	cellular_component
A0A2K3DH79	GO:0005794	Golgi apparatus	cellular_component
A0A2K3DH79	GO:0016020	membrane	cellular_component
A0A2K3DH79	GO:0030663	COPI-coated vesicle membrane	cellular_component
A0A2K3DH79	GO:0031410	cytoplasmic vesicle	cellular_component
A0A2K3DH79	GO:0030126	COPI vesicle coat	cellular_component
A0A2K3DH79	GO:0030126	COPI vesicle coat	cellular_component
A8JET7	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	biological_process
A8JET7	GO:0015031	protein transport	biological_process
A8JET7	GO:0016192	vesicle-mediated transport	biological_process
A8JET7	GO:0000139	Golgi membrane	cellular_component
A8JET7	GO:0005737	cytoplasm	cellular_component
A8JET7	GO:0005794	Golgi apparatus	cellular_component
A8JET7	GO:0016020	membrane	cellular_component
A8JET7	GO:0030663	COPI-coated vesicle membrane	cellular_component
A8JET7	GO:0031410	cytoplasmic vesicle	cellular_component
A8JET7	GO:0030126	COPI vesicle coat	cellular_component
A8J3X9	GO:0004596	protein-N-terminal amino-acid acetyltransferase activity	molecular_function
A8J3X9	GO:0016746	acyltransferase activity	molecular_function
A8J3X9	GO:1990189	protein N-terminal-serine acetyltransferase activity	molecular_function
A8J3X9	GO:1990190	protein-N-terminal-glutamate acetyltransferase activity	molecular_function
A8J3X9	GO:0031415	NatA complex	cellular_component
A8J3X9	GO:0031415	NatA complex	cellular_component
A0A2K3DHR0	GO:0003824	catalytic activity	molecular_function
A0A2K3DHR0	GO:0004484	mRNA guanylyltransferase activity	molecular_function
A0A2K3DHR0	GO:0004484	mRNA guanylyltransferase activity	molecular_function
A0A2K3DHR0	GO:0005524	ATP binding	molecular_function
A0A2K3DHR0	GO:0005525	GTP binding	molecular_function
A0A2K3DHR0	GO:0016779	nucleotidyltransferase activity	molecular_function
A0A2K3DHR0	GO:0006139	nucleobase-containing compound metabolic process	biological_process
A0A2K3DHR0	GO:0006370	7-methylguanosine mRNA capping	biological_process
A0A2K3DHR0	GO:0006370	7-methylguanosine mRNA capping	biological_process
A0A2K3DHR0	GO:0005634	nucleus	cellular_component
A0A2K3DH84	GO:0004842	ubiquitin-protein transferase activity	molecular_function
A0A2K3DH84	GO:0008270	zinc ion binding	molecular_function
A0A2K3DGY7	GO:0030041	actin filament polymerization	biological_process
A0A2K3DGY7	GO:0005884	actin filament	cellular_component
A0A2K3DGW4	GO:0000045	autophagosome assembly	biological_process
A8IYZ9	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGR7	GO:0003723	RNA binding	molecular_function
A0A2K3DGR7	GO:0003729	mRNA binding	molecular_function
A0A2K3DGT6	GO:0003723	RNA binding	molecular_function
A0A2K3DH89	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DH89	GO:0046975	histone H3K36 methyltransferase activity	molecular_function
A0A2K3DH89	GO:0006338	chromatin remodeling	biological_process
A0A2K3DH89	GO:0006355	regulation of DNA-templated transcription	biological_process
A0A2K3DH89	GO:0032259	methylation	biological_process
A0A2K3DH89	GO:0000785	chromatin	cellular_component
A0A2K3DH89	GO:0005634	nucleus	cellular_component
A0A2K3DH89	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DH89	GO:0046975	histone H3K36 methyltransferase activity	molecular_function
A0A2K3DH89	GO:0006338	chromatin remodeling	biological_process
A0A2K3DH89	GO:0006355	regulation of DNA-templated transcription	biological_process
A0A2K3DH89	GO:0032259	methylation	biological_process
A0A2K3DH89	GO:0000785	chromatin	cellular_component
A0A2K3DH89	GO:0005634	nucleus	cellular_component
A0A2K3DGR4	GO:0003677	DNA binding	molecular_function
A0A2K3DGR4	GO:0003700	DNA-binding transcription factor activity	molecular_function
A0A2K3DGR4	GO:0006355	regulation of DNA-templated transcription	biological_process
A0A2K3DGR4	GO:0009873	ethylene-activated signaling pathway	biological_process
A0A2K3DGR4	GO:0005634	nucleus	cellular_component
A0A2K3DGD4	GO:0006357	regulation of transcription by RNA polymerase II	biological_process
A0A2K3DGD4	GO:0032777	piccolo histone acetyltransferase complex	cellular_component
A0A2K3DHC4	GO:0004620	phospholipase activity	molecular_function
A0A2K3DHC4	GO:0030149	sphingolipid catabolic process	biological_process
A0A2K3DHC4	GO:0046513	ceramide biosynthetic process	biological_process
